"Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Outcome"
"1943-08-01","Sandvikens IF","Malmö FF",2,6,NA
"1943-08-01","Helsingborgs IF","GAIS",2,2,NA
"1943-08-01","Halmstads BK","Degerfors IF",0,4,NA
"1943-08-01","IFK Göteborg","IFK Norrköping",2,3,NA
"1943-08-01","IF Elfsborg","IS Halmia",5,1,NA
"1943-08-01","AIK","IK Brage",5,0,NA
"1943-08-08","IFK Norrköping","Helsingborgs IF",3,2,NA
"1943-08-08","Malmö FF","IF Elfsborg",2,1,NA
"1943-08-08","IS Halmia","IFK Göteborg",3,9,NA
"1943-08-08","GAIS","AIK",0,2,NA
"1943-08-08","Degerfors IF","Sandvikens IF",3,2,NA
"1943-08-08","IK Brage","Halmstads BK",1,6,NA
"1943-08-13","GAIS","IFK Göteborg",2,5,NA
"1943-08-15","IFK Norrköping","Sandvikens IF",2,1,NA
"1943-08-15","Malmö FF","AIK",3,2,NA
"1943-08-15","Helsingborgs IF","IF Elfsborg",2,2,NA
"1943-08-15","IS Halmia","Halmstads BK",2,1,NA
"1943-08-15","Degerfors IF","IK Brage",5,1,NA
"1943-08-22","Sandvikens IF","IS Halmia",4,2,NA
"1943-08-22","Halmstads BK","Malmö FF",0,2,NA
"1943-08-22","IFK Göteborg","Helsingborgs IF",6,0,NA
"1943-08-22","IF Elfsborg","IFK Norrköping",5,1,NA
"1943-08-22","IK Brage","GAIS",1,1,NA
"1943-08-22","AIK","Degerfors IF",3,2,NA
"1943-08-29","Malmö FF","Helsingborgs IF",2,2,NA
"1943-08-29","IS Halmia","IFK Norrköping",2,5,NA
"1943-08-29","GAIS","Halmstads BK",2,1,NA
"1943-08-29","Degerfors IF","IFK Göteborg",1,2,NA
"1943-08-29","IK Brage","IF Elfsborg",0,3,NA
"1943-08-29","AIK","Sandvikens IF",4,0,NA
"1943-09-05","Sandvikens IF","IK Brage",1,4,NA
"1943-09-05","IFK Norrköping","GAIS",3,0,NA
"1943-09-05","Helsingborgs IF","IS Halmia",1,1,NA
"1943-09-05","Halmstads BK","AIK",1,4,NA
"1943-09-05","IFK Göteborg","Malmö FF",1,1,NA
"1943-09-05","IF Elfsborg","Degerfors IF",1,0,NA
"1943-09-19","Malmö FF","IS Halmia",3,1,NA
"1943-09-19","Halmstads BK","IF Elfsborg",0,2,NA
"1943-09-19","GAIS","Sandvikens IF",1,0,NA
"1943-09-19","Degerfors IF","IFK Norrköping",2,2,NA
"1943-09-19","IK Brage","Helsingborgs IF",2,2,NA
"1943-09-19","AIK","IFK Göteborg",4,2,NA
"1943-09-26","Sandvikens IF","Halmstads BK",1,2,NA
"1943-09-26","IFK Norrköping","Malmö FF",0,2,NA
"1943-09-26","Helsingborgs IF","Degerfors IF",0,2,NA
"1943-09-26","IS Halmia","GAIS",4,1,NA
"1943-09-26","IFK Göteborg","IK Brage",5,0,NA
"1943-09-26","IF Elfsborg","AIK",4,1,NA
"1943-10-10","Sandvikens IF","IFK Göteborg",1,1,NA
"1943-10-10","Halmstads BK","Helsingborgs IF",2,1,NA
"1943-10-10","GAIS","IF Elfsborg",0,2,NA
"1943-10-10","Degerfors IF","Malmö FF",3,0,NA
"1943-10-10","IK Brage","IS Halmia",1,0,NA
"1943-10-10","AIK","IFK Norrköping",0,1,NA
"1943-10-17","IFK Norrköping","IK Brage",5,0,NA
"1943-10-17","Malmö FF","GAIS",2,0,NA
"1943-10-17","Helsingborgs IF","AIK",0,1,NA
"1943-10-17","IS Halmia","Degerfors IF",2,0,NA
"1943-10-17","IFK Göteborg","Halmstads BK",5,2,NA
"1943-10-17","IF Elfsborg","Sandvikens IF",2,0,NA
"1943-10-24","Sandvikens IF","Helsingborgs IF",1,1,NA
"1943-10-24","Halmstads BK","IFK Norrköping",2,2,NA
"1943-10-24","GAIS","Degerfors IF",2,2,NA
"1943-10-24","IF Elfsborg","IFK Göteborg",5,1,NA
"1943-10-24","IK Brage","Malmö FF",0,1,NA
"1943-10-24","AIK","IS Halmia",3,2,NA
"1943-10-31","IFK Norrköping","Halmstads BK",3,1,NA
"1943-10-31","Malmö FF","IK Brage",2,0,NA
"1943-10-31","Helsingborgs IF","Sandvikens IF",1,1,NA
"1943-10-31","IS Halmia","AIK",1,5,NA
"1943-10-31","IFK Göteborg","IF Elfsborg",3,2,NA
"1943-10-31","Degerfors IF","GAIS",5,1,NA
"1944-04-02","GAIS","IS Halmia",2,1,NA
"1944-04-10","Malmö FF","Degerfors IF",2,0,NA
"1944-04-10","Helsingborgs IF","Halmstads BK",2,1,NA
"1944-04-10","IS Halmia","IK Brage",4,1,NA
"1944-04-10","IFK Göteborg","Sandvikens IF",5,2,NA
"1944-04-10","IF Elfsborg","GAIS",1,1,NA
"1944-04-16","Halmstads BK","IFK Göteborg",2,6,NA
"1944-04-16","GAIS","Malmö FF",0,4,NA
"1944-04-23","Sandvikens IF","GAIS",0,0,NA
"1944-04-23","IFK Norrköping","Degerfors IF",2,2,NA
"1944-04-23","Helsingborgs IF","IK Brage",1,1,NA
"1944-04-23","IS Halmia","Malmö FF",3,1,NA
"1944-04-23","IFK Göteborg","AIK",1,3,NA
"1944-04-23","IF Elfsborg","Halmstads BK",2,1,NA
"1944-04-30","Malmö FF","IFK Norrköping",2,1,NA
"1944-04-30","Halmstads BK","Sandvikens IF",4,1,NA
"1944-04-30","Degerfors IF","Helsingborgs IF",1,1,NA
"1944-04-30","IK Brage","IFK Göteborg",1,3,NA
"1944-04-30","AIK","IF Elfsborg",3,4,NA
"1944-05-07","Sandvikens IF","Degerfors IF",1,1,NA
