"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1961-04-16","Örebro SK","Helsingborgs IF",3,1
"1961-04-16","IFK Norrköping","Malmö FF",0,1
"1961-04-16","IFK Malmö","Örgryte IS",0,1
"1961-04-16","IFK Göteborg","Hammarby IF",7,1
"1961-04-16","IF Elfsborg","Sandvikens IF",5,2
"1961-04-16","AIK","Degerfors IF",1,1
"1961-04-23","Örgryte IS","IF Elfsborg",1,2
"1961-04-23","Sandvikens IF","AIK",0,1
"1961-04-23","Malmö FF","IFK Göteborg",0,3
"1961-04-23","Helsingborgs IF","IFK Norrköping",1,2
"1961-04-23","Hammarby IF","IFK Malmö",0,5
"1961-04-23","Degerfors IF","Örebro SK",0,1
"1961-04-27","IFK Norrköping","Degerfors IF",3,0
"1961-04-27","AIK","Örgryte IS",1,2
"1961-04-28","IFK Göteborg","Helsingborgs IF",3,3
"1961-04-30","Örebro SK","Sandvikens IF",1,1
"1961-04-30","Malmö FF","Hammarby IF",1,0
"1961-04-30","IF Elfsborg","IFK Malmö",2,1
"1961-05-07","Örgryte IS","Örebro SK",2,1
"1961-05-07","Sandvikens IF","IFK Norrköping",3,6
"1961-05-07","IFK Malmö","AIK",0,0
"1961-05-07","Helsingborgs IF","Malmö FF",1,3
"1961-05-07","Hammarby IF","IF Elfsborg",4,4
"1961-05-07","Degerfors IF","IFK Göteborg",0,1
"1961-05-11","Örgryte IS","Sandvikens IF",2,1
"1961-05-11","Örebro SK","IFK Göteborg",0,2
"1961-05-11","IFK Norrköping","Hammarby IF",0,1
"1961-05-11","IFK Malmö","Degerfors IF",2,2
"1961-05-11","IF Elfsborg","Helsingborgs IF",3,0
"1961-05-11","AIK","Malmö FF",0,1
"1961-05-14","Sandvikens IF","IFK Malmö",0,1
"1961-05-14","Malmö FF","Örebro SK",2,4
"1961-05-14","Helsingborgs IF","AIK",1,1
"1961-05-14","Hammarby IF","Örgryte IS",2,2
"1961-05-14","IFK Göteborg","IFK Norrköping",2,3
"1961-05-14","Degerfors IF","IF Elfsborg",1,1
"1961-05-19","Helsingborgs IF","IFK Malmö",2,2
"1961-05-22","IFK Norrköping","Örebro SK",2,1
"1961-05-22","Malmö FF","IF Elfsborg",0,2
"1961-05-22","Hammarby IF","Sandvikens IF",1,4
"1961-05-22","IFK Göteborg","AIK",4,1
"1961-05-22","Degerfors IF","Örgryte IS",0,5
"1961-05-31","Sandvikens IF","Degerfors IF",0,1
"1961-06-01","Örgryte IS","Helsingborgs IF",0,0
"1961-06-01","Örebro SK","Hammarby IF",2,3
"1961-06-01","IFK Malmö","Malmö FF",1,0
"1961-06-01","IF Elfsborg","IFK Göteborg",3,2
"1961-06-01","AIK","IFK Norrköping",1,1
"1961-06-04","Sandvikens IF","Malmö FF",3,1
"1961-06-04","Degerfors IF","Helsingborgs IF",0,4
"1961-06-07","Örgryte IS","IFK Göteborg",3,5
"1961-06-07","IFK Malmö","IFK Norrköping",1,0
"1961-06-07","IF Elfsborg","Örebro SK",3,3
"1961-06-07","AIK","Hammarby IF",3,1
"1961-06-11","Örebro SK","AIK",2,0
"1961-06-11","IFK Norrköping","IF Elfsborg",5,1
